dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
weather1|0.16129032258064516|5|0.0967741935483871|3.0|0.7096774193548387|22.0|0.08426966292134831|0.031217481789802288|0.967741935483871|0.3704474505723205|11.483870967741936|t4|43|31|21
weather1|0.3|3|0.2|2.0|0.6|6.0|0.3333333333333333|0.09|0.9|0.27|2.7|t4|34|10|25
weather1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t4|27|5|29
weather1|0.3333333333333333|3|0.3333333333333333|3.0|0.4444444444444444|4.0|0.47058823529411764|0.09876543209876543|0.8888888888888888|0.20987654320987653|1.8888888888888888|t4|40|9|41
weather1|0.25|4|0.1875|3.0|0.5|8.0|0.2054794520547945|0.05859375|0.9375|0.28515625|4.5625|t4|40|16|45
weather1|0.23076923076923078|3|0.15384615384615385|2.0|0.6923076923076923|9.0|0.22641509433962267|0.07100591715976332|0.9230769230769231|0.3136094674556213|4.076923076923077|t4|36|13|53
weather1|0.07692307692307693|1|0.07692307692307693|1.0|0.9230769230769231|12.0|0.15384615384615385|0.07100591715976332|0.9230769230769231|0.46153846153846156|6.0|t4|24|13|65
weather1|0.3333333333333333|3|0.3333333333333333|3.0|0.6666666666666666|6.0|0.27586206896551724|0.09876543209876543|0.8888888888888888|0.35802469135802467|3.2222222222222223|t4|41|9|69
weather1|0.08333333333333333|1|0.08333333333333333|1.0|0.9166666666666666|11.0|0.16666666666666666|0.0763888888888889|0.9166666666666666|0.4583333333333333|5.5|t4|34|12|73
weather1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t4|17|6|77
weather1|0.16666666666666666|2|0.16666666666666666|2.0|0.5833333333333334|7.0|0.21999999999999997|0.0763888888888889|0.9166666666666666|0.3472222222222222|4.166666666666667|t4|22|12|93
weather1|0.3076923076923077|4|0.3076923076923077|4.0|0.6923076923076923|9.0|0.16666666666666669|0.07100591715976332|0.9230769230769231|0.4260355029585799|5.538461538461538|t4|31|13|97
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|19|5|09
faa1|0.21428571428571427|3|0.21428571428571427|3.0|0.35714285714285715|5.0|0.3823529411764706|0.0663265306122449|0.9285714285714286|0.17346938775510204|2.4285714285714284|t1|22|14|109
faa1|0.36363636363636365|4|0.18181818181818182|2.0|0.45454545454545453|5.0|0.2857142857142857|0.08264462809917356|0.9090909090909091|0.2892561983471074|3.1818181818181817|t1|14|11|13
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|13|5|21
faa1|0.2857142857142857|2|0.2857142857142857|2.0|0.7142857142857143|5.0|0.375|0.12244897959183673|0.8571428571428571|0.32653061224489793|2.2857142857142856|t1|22|7|33
faa1|0.09090909090909091|1|0.09090909090909091|1.0|0.9090909090909091|10.0|0.18181818181818182|0.08264462809917356|0.9090909090909091|0.45454545454545453|5.0|t1|23|11|37
faa1|0.4|2|0.4|2.0|0.6|3.0|0.5|0.16|0.8|0.32|1.6|t1|20|5|41
faa1|0.8|4|0.8|4.0|0.2|1.0|1.0|0.16|0.8|0.16|0.8|t1|16|5|45
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|19|5|57
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t1|21|5|65
faa1|0.25|3|0.16666666666666666|2.0|0.75|9.0|0.22916666666666666|0.0763888888888889|0.9166666666666666|0.3333333333333333|4.0|t1|27|12|69
faa1|0.16666666666666666|2|0.16666666666666666|2.0|0.4166666666666667|5.0|0.3548387096774193|0.0763888888888889|0.9166666666666666|0.2152777777777778|2.5833333333333335|t1|19|12|81
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t1|7|3|85
faa1|0.5|4|0.25|2.0|0.5|4.0|0.4375|0.109375|0.875|0.25|2.0|t1|26|8|89
faa1|0.35714285714285715|5|0.35714285714285715|5.0|0.35714285714285715|5.0|0.3939393939393939|0.0663265306122449|0.9285714285714286|0.1683673469387755|2.357142857142857|t1|27|14|93
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|32|4|09
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|14|4|109
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t2|11|3|13
